date,close
2021-07-23,296.38
2021-07-26,303.34
2021-07-27,299.71
2021-07-28,302.9
2021-07-29,303.12
2021-07-30,305.59
2021-08-02,306.51
2021-08-03,309.89
2021-08-04,311.1
2021-08-05,315.82
2021-08-06,319.15
2021-08-09,326.91
2021-08-10,330.11
2021-08-11,329.9
2021-08-12,328.57
2021-08-13,328.68
2021-08-16,329.36
2021-08-17,334.5
2021-08-18,334.9
2021-08-19,332.69
2021-08-20,325.67
2021-08-23,329.22
2021-08-24,324.83
2021-08-25,324.57
2021-08-26,322.54
2021-08-27,327.41
2021-08-30,328.28
2021-08-31,327.94
2021-09-01,334.57
2021-09-02,329.0
2021-09-03,329.71
2021-09-06,329.37
2021-09-07,325.96
2021-09-08,331.7
2021-09-09,326.01
2021-09-10,326.25
2021-09-13,327.41
2021-09-14,326.48
2021-09-15,333.51
2021-09-16,326.99
2021-09-17,329.56
2021-09-20,326.92
2021-09-21,323.25
2021-09-22,327.8
2021-09-23,327.02
2021-09-24,325.44
2021-09-27,331.68
2021-09-28,329.3
2021-09-29,328.43
2021-09-30,340.99
2021-10-01,338.48
2021-10-04,345.85
2021-10-05,363.2
2021-10-06,364.28
2021-10-07,368.93
2021-10-08,373.01
2021-10-11,387.6
2021-10-12,377.79
2021-10-13,378.8
2021-10-14,376.09
2021-10-15,371.82
2021-10-18,364.6
2021-10-19,373.18
2021-10-20,370.16
2021-10-21,364.6
2021-10-22,364.37
2021-10-25,369.99
2021-10-26,372.16
2021-10-27,371.36
2021-10-28,365.36
2021-10-29,356.14
2021-11-01,370.96
2021-11-02,370.7
2021-11-03,370.13
2021-11-05,360.21
2021-11-08,358.39
2021-11-09,357.44
2021-11-10,348.65
2021-11-11,356.24
2021-11-12,347.59
2021-11-15,344.39
2021-11-16,337.91
2021-11-17,339.89
2021-11-18,336.93
2021-11-19,327.56
2021-11-22,309.15
2021-11-23,326.84
2021-11-24,321.22
2021-11-25,317.29
2021-11-26,304.42
2021-11-29,316.57
2021-11-30,315.0
2021-12-01,324.4
2021-12-02,326.8
2021-12-03,320.66
2021-12-06,307.5
2021-12-07,309.79
2021-12-08,296.95
2021-12-09,300.4
2021-12-10,297.44
2021-12-13,280.64
2021-12-14,284.9
2021-12-15,286.65
2021-12-16,295.89
2021-12-17,294.9
2021-12-20,288.4
2021-12-21,291.7
